[gate_m15_g1] out-00047.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7541, failures=0
[gate_m15_g1] out-00048.safetensors: 409 tensors, 1394688 rows, 5448 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00049.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7539, failures=0
[gate_m15_g1] out-00050.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7542, failures=0
[gate_m15_g1] out-00051.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7542, failures=0
[gate_m15_g1] out-00052.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7542, failures=0
[gate_m15_g1] out-00053.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7542, failures=0
[gate_m15_g1] out-00054.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7542, failures=0
[gate_m15_g1] out-00055.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7540, failures=0
[gate_m15_g1] out-00056.safetensors: 409 tensors, 1398784 rows, 5464 blocks checked bit-exact vs source, ratio=0.7542, failures=0
[gate_m15_g1] out-00057.safetensors: 413 tensors, 1406976 rows, 5496 blocks checked bit-exact vs source, ratio=0.7539, failures=0
[gate_m15_g1] out-00058.safetensors: 422 tensors, 1441792 rows, 5632 blocks checked bit-exact vs source, ratio=0.7173, failures=0
[gate_m15_g1] out-00059.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7246, failures=0
[gate_m15_g1] out-00060.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7542, failures=0
[gate_m15_g1] out-00061.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7542, failures=0
[gate_m15_g1] out-00062.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7544, failures=0
[gate_m15_g1] out-00063.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00064.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7544, failures=0
[gate_m15_g1] out-00065.safetensors: 409 tensors, 1394688 rows, 5448 blocks checked bit-exact vs source, ratio=0.7544, failures=0
[gate_m15_g1] out-00066.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00067.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00068.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7546, failures=0
[gate_m15_g1] out-00069.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00070.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00071.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00072.safetensors: 409 tensors, 1398784 rows, 5464 blocks checked bit-exact vs source, ratio=0.7544, failures=0
[gate_m15_g1] out-00073.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7544, failures=0
[gate_m15_g1] out-00074.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00075.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00076.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7544, failures=0
[gate_m15_g1] out-00077.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00078.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7293, failures=0
[gate_m15_g1] out-00079.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7218, failures=0
[gate_m15_g1] out-00080.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7528, failures=0
[gate_m15_g1] out-00081.safetensors: 409 tensors, 1398784 rows, 5464 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00082.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7548, failures=0
[gate_m15_g1] out-00083.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00084.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00085.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7548, failures=0
[gate_m15_g1] out-00086.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00087.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7549, failures=0
[gate_m15_g1] out-00088.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7548, failures=0
[gate_m15_g1] out-00089.safetensors: 409 tensors, 1394688 rows, 5448 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00090.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7548, failures=0
[gate_m15_g1] out-00091.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7548, failures=0
[gate_m15_g1] out-00092.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00093.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00094.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7548, failures=0
[gate_m15_g1] out-00095.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00096.safetensors: 409 tensors, 1394688 rows, 5448 blocks checked bit-exact vs source, ratio=0.7546, failures=0
[gate_m15_g1] out-00097.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00098.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7461, failures=0
[gate_m15_g1] out-00099.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7381, failures=0
